Ticker,Company Name,Fiscal Quarter,Date,Close,Earnings Date,Earnings Timing,Trading Days From Earnings,Return From Earnings (%)
ABM,ABM Industries Incorporated,Q1 2026,2025-12-10,45.9,2025-12-17,BMO,-5,
ABM,ABM Industries Incorporated,Q1 2026,2025-12-11,47.08,2025-12-17,BMO,-4,
ABM,ABM Industries Incorporated,Q1 2026,2025-12-12,46.64,2025-12-17,BMO,-3,
ABM,ABM Industries Incorporated,Q1 2026,2025-12-15,47.18,2025-12-17,BMO,-2,
ABM,ABM Industries Incorporated,Q1 2026,2025-12-16,45.74,2025-12-17,BMO,-1,
ABM,ABM Industries Incorporated,Q1 2026,2025-12-17,48.25,2025-12-17,BMO,0,5.49
ABM,ABM Industries Incorporated,Q1 2026,2025-12-18,43.47,2025-12-17,BMO,1,-4.96
ABM,ABM Industries Incorporated,Q1 2026,2025-12-19,42.17,2025-12-17,BMO,2,-7.8
ABM,ABM Industries Incorporated,Q1 2026,2025-12-22,42.21,2025-12-17,BMO,3,-7.72
ABM,ABM Industries Incorporated,Q1 2026,2025-12-23,41.75,2025-12-17,BMO,4,-8.72
ABM,ABM Industries Incorporated,Q1 2026,2025-12-24,42.17,2025-12-17,BMO,5,-7.8
ABM,ABM Industries Incorporated,Q1 2026,2025-12-26,42.67,2025-12-17,BMO,6,-6.71
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-11-24,19.1,2025-12-02,AMC,-5,
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-11-25,19.66,2025-12-02,AMC,-4,
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-11-26,20.26,2025-12-02,AMC,-3,
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-11-28,20.4,2025-12-02,AMC,-2,
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-01,21.25,2025-12-02,AMC,-1,
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-02,20.83,2025-12-02,AMC,0,0.0
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-03,23.97,2025-12-02,AMC,1,15.07
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-04,24.18,2025-12-02,AMC,2,16.08
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-05,23.09,2025-12-02,AMC,3,10.85
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-08,22.42,2025-12-02,AMC,4,7.63
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-09,23.91,2025-12-02,AMC,5,14.79
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-10,24.16,2025-12-02,AMC,6,15.99
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-11,25.07,2025-12-02,AMC,7,20.36
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-12,25.46,2025-12-02,AMC,8,22.23
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-15,27.01,2025-12-02,AMC,9,29.67
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-16,27.36,2025-12-02,AMC,10,31.35
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-17,26.92,2025-12-02,AMC,11,29.24
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-18,27.54,2025-12-02,AMC,12,32.21
AEO,"American Eagle Outfitters, Inc.",Q4 2026,2025-12-19,27.84,2025-12-02,AMC,13,33.65
