Ticker,Fiscal Quarter,Earnings Date,Earnings Date (yfinance),Date Check,Date Added,Earnings Timing,Price,EPS (TTM),EPS Estimate,Reported EPS,EPS Surprise (%),P/E,Forward P/E,Market Cap,Beta,1D Return,3D Return,5D Return,7D Return,10D Return,Return to Today,1W High Return,1W Low Return,1W Range,1W High Price,1W Low Price,Company Name,Sector
TGS,,2025-11-03 00:00:00,2025-11-06,OK,,,30.5,2.26,0.36,0.51,41.67,13.15,12.76,2060000000.0,0.78,-0.027,-0.042,-0.031,0.001,-0.018,-0.053,0.001,-0.061,0.062,30.53,28.63,Transportadora de Gas del Sur S.A.,Energy
RYAAY,Q2 FY26,2025-11-03 00:00:00,2025-11-03,OK,,BMO,62.07,4.2,3.63,3.71,2.29,15.38,11.85,34110000000.0,1.26,0.034,0.011,0.032,0.039,-0.018,0.1,0.039,0.011,0.028,64.5,62.74,Ryanair Holdings plc,Industrials
QRVO,Q2 FY26,2025-11-03 00:00:00,2025-11-03,OK,,AMC,93.58,2.32,2.11,2.22,5.12,37.8,12.38,8090000000.0,1.36,-0.065,-0.069,-0.072,-0.061,-0.128,-0.144,-0.041,-0.082,0.041,89.7,85.9,"Qorvo, Inc.",Technology
NOVT,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,AMC,135.86,1.46,0.82,0.87,6.53,88.42,34.24,4650000000.0,1.58,-0.048,-0.211,-0.235,-0.187,-0.243,-0.009,-0.025,-0.235,0.21,132.48,104.0,Novanta Inc.,Technology
IDXX,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,BMO,629.51,12.61,3.15,3.4,8.08,57.24,50.26,57770000000.0,1.67,0.147,0.134,0.127,0.134,0.063,0.136,0.147,0.125,0.022,722.12,708.45,"IDEXX Laboratories, Inc.",Healthcare
HLIO,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,AMC,56.49,1.01,0.44,0.31,-29.55,54.67,19.95,1840000000.0,1.3,-0.02,-0.01,-0.047,-0.062,-0.076,0.134,0.007,-0.062,0.069,56.87,53.0,"Helios Technologies, Inc.",Industrials
PCH,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,AMC,38.62,0.82,0.18,0.36,97.77,50.6,60.88,3200000000.0,1.11,-0.003,0.035,0.045,0.022,-0.016,0.175,0.06,-0.003,0.063,40.94,38.51,PotlatchDeltic Corporation,Real Estate
UFPT,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,AMC,199.05,8.63,2.03,2.11,3.81,26.2,21.51,1740000000.0,1.07,0.121,0.119,0.178,0.192,0.119,0.309,0.234,0.119,0.115,245.61,222.77,"UFP Technologies, Inc.",Healthcare
CTRA,Q3 FY25,2025-11-03 00:00:00,2025-11-03,OK,,AMC,24.18,2.17,0.43,0.41,-4.77,12.26,9.73,20230000000.0,0.31,0.06,0.081,0.082,0.071,0.074,0.063,0.098,0.056,0.043,26.56,25.53,Coterra Energy Inc.,Energy
FLYW,Q3 FY25,2025-11-04 00:00:00,2025-11-04,OK,,AMC,13.81,-0.03,0.35,0.37,5.8,,42.86,1660000000.0,1.28,0.013,-0.018,-0.005,0.002,-0.02,-0.001,0.013,-0.02,0.033,13.99,13.54,Flywire Corporation,Technology
